Part Type, Name, Price, Manufacturer, Power, Performance Index, Compatibility(or other),
5,970 EVO,230,Samsung,10,3,,
5,BarraCuda,85,SeaGate,15,1,,
1,Hydro Series 100i,140,Corsair,20,1,,
6,Rosewill ATX,30,Rosewill,0,0,,
2,B350 Krait Gaming,215,MSI,30,70,AMD,
6,H210i,100,NZXT,0,0,,
2,Z370M Pro4,130,ASRock,30,70,Intel,
0,I7 8700k,365,Intel,190,85,,
5,860 EVO 500GB,80,Samsung,10,2,,
2,AB350M,84,ASRock,40,70,AMD,
0,Ryzen 5 1600x,146,AMD,55,75,AM4,
2,Z370 Gaming ,160,MSI,36,70,Intel,
6,Define C,80,Fractal Design,0,0,,
0,Ryzen 3 1200,70,AMD,50,60,AM4,
2,X299 Gaming Pro,310,MSI,60,70,Intel,
7,650 GQ,74,EVGA,650,2,,
4,GTX 980Ti,150,Nvidia,250,65,,
6,H700I,180,NZXT,0,0,,
4,GTX 1080Ti,600,Nvidia,250,80,,
7,Supernova 850 T2,220,EVGA,850,3,,
3,RGB Pro Vengeance ,100,Corsair,10,3200,,
4,RTX 2080Ti,1050,Nvidia,280,100,,
6,Node 304,90,Fractal Design,0,0,,
4,GTX 1060,200,Nvidia,90,65,,
7,500 W1,40,EVGA,500,1,,
4,GTX 1070,250,Nvidia,150,70,,
0,Ryzen 7 1700x,189,AMD,100,78,AM4,
0,I3 8100,130,Intel,65,65,,
7,1000 GQ,120,EVGA,1000,4,,
3,Trident Z RGB,110,G.Skill,10,3000,,
3,Ripjaws V,70,G.Skill,10,2400,,
4,Vega 64,400,AMD,300,75,,
2,X399 Xtreme,380,Gigabyte,60,70,AMD,
4,GTX 2060,399,Nvidia,158,75,,
4,Vega 56,279,AMD,220,70,,
0,Ryzen 5 2600x,180,AMD,65,80,AM4,
0,Hyper 212 Evo,35,Cooler Master,10,3,,
4,GTX 2070,499,Nvidia,215,85,,
5,860 EVO 1TB,150,Samsung,10,2,,
0,I5 8600k,330,Intel,150,82,,
6,Carbide 275R,65,Corsair,0,0,,
5,WD Blue,42,Western Digital,15,1,,
6,MasterBox Lite,40,Cooler Master,0,0,,
0,Ryzen 1950x,500,AMD,180,95,AM4,
0,I5 8400,210,Intel,140,75,,
7,850 BQ,90,EVGA,850,3,,
2,B350-Plus,75,ASUS,35,70,AMD,
0,Ryzen 7 2700x,280,AMD,105,85,AM4,
5,BarraCuda Pro,50,SeaGate,15,1,,
1,MstrLqd Lite ML240L,60,Cooler Master,15,2,,
