Part Type,Name,Price,Manufacturer,Power,Performance Index,Compatibility (or other),
0,Ryzen 3 1200,70,AMD,50,60,AM4 ,
0,Ryzen 5 1600x,146,AMD,55,75,AM4 ,
0,Ryzen 5 2600x,180,AMD,65,80,AM4 ,
0,Ryzen 7 1700x,189,AMD,100,78,AM4 ,
0,Ryzen 7 2700x,280,AMD,105,85,AM4 ,
0,Ryzen 1950x,500,AMD,180,95,AM4 ,
0,I3 8100,130,Intel,65,65,Intel,
0,I5 8400,210,Intel,65,75,Intel,
0,I5 8600k,330,Intel,65,82,Intel,
0,I7 8700k,365,Intel,65,85,Intel,
0,I9 9900k,500,Intel,65,92,Intel,
1,Hyper 212 Evo,35,Cooler Master,10,3,,
1,Hydro series 100i,140,Corsair,20,1,,
1,Master Liquid Lite ML240L,60,Cooler Master,15,2,,
2,AB350M,84,ASRock,40,70,AMD,
2,B350-Plus,75,ASUS,35,70,AMD,
2,B350 Krait Gaming,215,MSI,30,70,AMD,
2,X399 Xtreme,380,Gigabyte,60,70,AMD,
2,Z370 Gaming ,160,MSI,36,70,Intel,
2, Z370M Pro4,130,ASRock,30,70,Intel,
2,X299 Gaming Pro,310,MSI,60,70,Intel,
3, RGB Pro Vengeance ,100,Corsair,10,3200,,
3,Trident Z RGB,110,G.Skill,10,3000,,
3,Ripjaws V,70,G.Skill,10,2400,,
4,gtx 980ti,150,Nvidia,250,65,,
4,gtx 1060,200,Nvidia,90,65,,
4,gtx 1070,250,Nvidia,150,70,,
4,gtx 1080ti,600,Nvidia,250,80,,
4,gtx 2060,399,Nvidia,158,75,,
4,gtx 2070,499,Nvidia,215,85,,
4,rtx 2080ti,1050,Nvidia,280,100,,
4,vega 56,279,AMD,220,70,,
4,vega 64,400,AMD,300,75,,
5,BarraCuda ,85,SeaGate,15,1,HDD,4TB
5,BarraCuda ,50,SeaGate,15,1,HDD,2TB
5,WD Blue,42,Western Digital,15,1,HDD,1TB
5,860 EVO,150,Samsung,10,2,SSD,1TB
5,860 EVO,80,Samsung,10,2,SSD,500GB
5,970 EVO,230,Samsung,10,3,NVME SSD,1TB
6,H700I,180,NZXT,0,0,mATX,
6,Node 304,90,Fractal Design,0,0,mini ATX,
6,Carbide 275R,65,Corsair,0,0,ATX,
6,H210i,100,NZXT,0,0,mini ATX,
6,Define C,80,Fractal Design,0,0,ATX,
6,MasterBox Lite,40,Cooler Master,0,0,mATX,
6,Rosewill ATX,30,Rosewill,0,0,ATX,
7,500 W1,40,EVGA,500,1,no,
7,650 GQ,74,EVGA,650,2,semi,
7,850 BQ,90,EVGA,850,3,semi,
7,1000 GQ,120,EVGA,1000,4,semi,
7,Supernova 850 T2,220,EVGA,850,3,full,
